region,abbreviation,genus,species,sub.spp,common.name,source,functional.group,reproduction,conservation.status
Mojave,phdi,phacelia ,distans,,Lace leaf phacelia,native,herb,annual,
Mojave,phar,pholisma ,arenarium,,scaly-stemmed sand plant,native,herb,perennial,
Carrizo,phme,pholistoma,membranaceum,,white fiesta flower,native,herb,annual,
Carrizo,pimo,pinus,monophylla,,nut pine,native,woody,perennial,
Mojave,pl,plagiobothrys,,,popcorn flower,native,herb,annual,
San Joaquin to Mojave,plta,plantago,ovata,insularis,desert plantain,native,herb,annual,native
San Joaquin to Mojave,pose,poa ,secunda,,bluegrass,exotic,grass,perennial,native
Mojave,rane,rafinesquia ,neomexicana,,desert chicory?,native,herb,annual,native
Carrizo,ru,rumex,,,sorrel,,herb,annual,
San Joaquin to Mojave,saae,salvia,columbariae,,desert chia,native,herb,annual,native
Mojave,sado,salvia ,dorri,,desert sage,native,woody,perennial,
San Joaquin to Mojave,scba,schismus,barbatus,,kelch grass,exotic,grass,annual,exotic
Mojave,scme,scutellaria ,mexicana,,bladdersage,native,woody,perennial,
Mojave,sear,senna ,armata,,senna,native,woody,perennial,
Mojave,spam,sphaeralcea ,ambigua,,Desert Globemallow,native,herb,perennial,
Mojave,thmo,thamnosma ,montana,,turpentine broom,native,woody,perennial,
Carrizo,tr,trifolium,,,clover,,herb,,
Carrizo,trgr,tropidocarpum,gracile,,slender keel fruit,native,herb,annual,
Carrizo,vumy,vulpia,myuros,hirsuta,foxtail,exotic,grass,annual,
Mojave,yusc,yucca ,schidigera,,mojave yucca,native,succulent,perennial,
